Episode,NumGreen,NumYellow,NumRed,NumWaste,WasteLeft,DisposedWaste,TotalReward,AvgActorLoss,AvgCriticLoss,AvgEntropy
184,1,1,1,10.0,0,0,85.17,-0.0145,4.3121,1.4334
185,1,1,1,11.4,0,0,91.43,-0.0143,4.4342,1.4291
186,1,1,1,9.1,0,0,90.86,-0.0143,4.4342,1.4291
187,1,1,1,11.0,0,0,91.29,-0.0143,4.4342,1.4291
188,1,1,1,10.1,0,0,85.54,-0.0144,4.4985,1.4316
189,1,1,1,7.9,0,0,89.77,-0.0144,4.4985,1.4316
190,1,1,1,9.4,0,0,90.26,-0.0144,4.4985,1.4316
191,1,1,1,9.0,0,0,90.63,-0.0143,4.1455,1.4252
192,1,1,1,8.5,0,0,90.76,-0.0143,4.1455,1.4252
193,1,1,1,9.1,0,0,84.98,-0.0143,4.1455,1.4252
194,1,1,1,10.9,0,0,91.93,-0.0143,4.2667,1.4275
195,1,1,1,8.9,0,0,84.79,-0.0143,4.2667,1.4275
196,1,1,1,10.8,0,0,92.56,-0.0143,4.2667,1.4275
197,1,1,1,10.0,0,0,90.22,-0.0145,4.3012,1.4386
198,1,1,1,9.9,0,0,91.86,-0.0145,4.3012,1.4386
199,1,1,1,11.2,0,0,91.80,-0.0145,4.3012,1.4386
200,1,1,1,10.5,0,0,90.63,-0.0145,4.2644,1.4432
201,1,1,1,8.9,0,0,90.79,-0.0145,4.2644,1.4432
202,1,1,1,10.6,0,0,85.69,-0.0145,4.2644,1.4432
203,1,1,1,9.6,0,0,79.67,-0.0143,3.7138,1.4281
204,1,1,1,12.1,0,0,91.75,-0.0143,3.7138,1.4281
205,1,1,1,7.5,0,0,90.19,-0.0143,3.7138,1.4281
206,1,1,1,11.0,0,0,86.53,-0.0144,4.2402,1.4306
207,1,1,1,10.2,0,0,80.24,-0.0144,4.2402,1.4306
208,1,1,1,10.6,0,0,80.22,-0.0144,4.2402,1.4306
209,1,1,1,9.8,0,0,91.31,-0.0144,3.4625,1.4341
210,1,1,1,10.1,0,0,91.27,-0.0144,3.4625,1.4341
211,1,1,1,9.5,0,0,84.19,-0.0144,3.4625,1.4341
212,1,1,1,10.1,0,0,87.20,-0.0143,3.5541,1.4237
213,1,1,1,10.8,0,0,92.58,-0.0143,3.5541,1.4237
214,1,1,1,10.5,0,0,91.05,-0.0143,3.5541,1.4237
215,1,1,1,11.1,0,0,91.65,-0.0144,3.5872,1.4273
216,1,1,1,6.8,0,0,84.34,-0.0144,3.5872,1.4273
217,1,1,1,11.0,0,0,88.10,-0.0144,3.5872,1.4273
218,1,1,1,8.4,0,0,90.41,-0.0145,3.1555,1.4378
219,1,1,1,9.5,0,0,80.01,-0.0145,3.1555,1.4378
219,1,1,1,9.8,0,0,92.73,nan,nan,nan
220,1,1,1,8.9,0,0,90.73,nan,nan,nan
221,1,1,1,10.1,0,0,92.24,-0.0148,4.1359,1.4477
222,1,1,1,11.8,0,0,93.87,-0.0148,4.1359,1.4477
223,1,1,1,12.1,0,0,87.95,-0.0148,4.1359,1.4477
224,1,1,1,9.6,0,0,86.16,-0.0148,4.3871,1.4682
225,1,1,1,10.0,0,0,97.86,-0.0148,4.3871,1.4682
226,1,1,1,10.1,0,0,92.88,-0.0148,4.3871,1.4682
227,1,1,1,10.0,0,0,98.27,-0.0149,4.4747,1.4781
228,1,1,1,10.1,0,0,87.78,-0.0149,4.4747,1.4781
229,1,1,1,10.4,0,0,97.64,-0.0149,4.4747,1.4781
230,1,1,1,8.0,0,0,85.96,-0.0150,4.3428,1.4853
231,1,1,1,11.0,0,0,98.97,-0.0150,4.3428,1.4853
232,1,1,1,8.5,0,0,91.00,-0.0150,4.3428,1.4853
233,1,1,1,9.6,0,0,93.00,-0.0150,4.1558,1.4911
234,1,1,1,10.0,0,0,92.70,-0.0150,4.1558,1.4911
235,1,1,1,10.9,0,0,93.38,-0.0150,4.1558,1.4911
236,1,1,1,8.1,0,0,87.27,-0.0149,4.0062,1.4777
237,1,1,1,9.9,0,0,91.96,-0.0149,4.0062,1.4777
238,1,1,1,9.1,0,0,87.60,-0.0149,4.0062,1.4777
239,1,1,1,10.1,0,0,92.82,-0.0147,3.3605,1.4729
240,1,1,1,9.5,0,0,91.99,-0.0147,3.3605,1.4729
241,1,1,1,12.4,0,0,94.43,-0.0147,3.3605,1.4729
242,1,1,1,9.1,0,0,91.92,-0.0148,3.5749,1.4761
243,1,1,1,9.9,0,0,92.55,-0.0148,3.5749,1.4761
244,1,1,1,10.5,0,0,86.75,-0.0148,3.5749,1.4761
245,1,1,1,9.5,0,0,98.01,-0.0149,3.7410,1.4833
246,1,1,1,11.0,0,0,93.51,-0.0149,3.7410,1.4833
247,1,1,1,10.8,0,0,93.03,-0.0149,3.7410,1.4833
248,1,1,1,9.9,0,0,92.55,-0.0148,3.6650,1.4726
249,1,1,1,10.9,0,0,87.95,-0.0148,3.6650,1.4726
250,1,1,1,10.5,0,0,92.44,-0.0148,3.6650,1.4726
251,1,1,1,10.2,0,0,92.85,-0.0148,3.4597,1.4735
252,1,1,1,9.1,0,0,87.10,-0.0148,3.4597,1.4735
253,1,1,1,10.0,0,0,92.87,-0.0148,3.4597,1.4735
254,1,1,1,10.4,0,0,92.79,-0.0149,3.7685,1.4736
255,1,1,1,10.8,0,0,92.92,-0.0149,3.7685,1.4736
